id,province,district,subdistrict,address,property_type,total_units,bedrooms,baths,floor_area,floor_level,land_area,latitude,longitude,nearby_stations,nearby_station_distance,nearby_bus_stops,nearby_supermarkets,nearby_shops,year_built,month_built,facilities,price
8448321,Bangkok,Watthana,Phra Khanong Nuea,"36 Soi Sukhumvit 63, Ekamai Road",Condo,273.0,2.0,2.0,66,10,258.0,14.0,101.0,2,"[['E7 Ekkamai BTS', 270], ['E6 Thong Lo BTS', 800]]",14.0,16.0,20,2011,June,"['Car Park', 'Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",8500000
10936325,Bangkok,Watthana,Khlong Toei Nuea,31 สุขุมวิท,Condo,74.0,1.0,1.0,49,8,258.0,14.0,101.0,3,"[['BL22 Sukhumvit MRT', 720], ['BL21 Phetchaburi MRT', 850], ['E4 Asok BTS', 900]]",14.0,11.0,20,2012,September,"['CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",5900000
10927931,Bangkok,Khlong Toei,Khlong Tan,"68 Sukhumvit 24 Alley, Khong Tan",Condo,940.0,1.0,1.0,34,4,258.0,14.0,101.0,2,"[['E5 Phrom Phong BTS', 650], ['BL23 Queen Sirikit National Convention Centre MRT', 770]]",14.0,20.0,20,2017,January,"['Car Park', 'Clubhouse', 'Community Garden', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",6290000
11004792,Nonthaburi,Bang Kruai,Bang Khun Kong,Bang Khun Kong,Detached House,697.0,3.0,3.0,170,1,248.0,13.8216875,100.4284375,0,Unknown,16.0,2.0,4,2000,February,"['Covered car park', 'Playground', '24 hours security', 'Swimming pool']",8900000
10757452,Nonthaburi,Mueang Nonthaburi,Bang Phai,พระราม5-นครอินทร์,Townhouse,454.0,3.0,2.0,120,1,72.0,13.8658492,100.4941285,1,"[['PP09 Yaek Nonthaburi 1 MRT', 10]]",17.0,6.0,15,2000,July,"['Covered car park', '24 hours security']",2390000
10879034,Bangkok,Bang Rak,Si Phraya,เจริญกรุง 30,Condo,211.0,1.0,1.0,54,6,72.0,13.726234999999999,100.516179,3,"[['G2 Charoen Nakhon BTS', 820], ['S6 Saphan Taksin BTS', 860], ['S5 Surasak BTS', 960]]",18.0,14.0,20,2014,December,"['CCTV', 'Fitness corner', '24 hours security', 'Sky Lounge', 'Swimming pool']",8549000
10829681,Nonthaburi,Pak Kret,Pak Kret,"Soi Tiwanon - Pakkret 17, Tiwanon Road",Condo,851.0,2.0,1.0,59,4,72.0,13.914101,100.506769,0,Unknown,20.0,2.0,9,2014,July,"['Car Park', 'Clubhouse', 'Community Garden', 'CCTV', 'Fitness corner', 'Mini-Mart', 'Sauna', '24 hours security', 'Swimming pool']",1950000
10615656,Bangkok,Sai Mai,Sai Mai,สายไหม 15,Townhouse,711.5,2.0,2.0,105,1,72.0,13.9023034,100.6432195,0,Unknown,20.0,6.0,6,2000,May,['Covered car park'],1990000
10611729,Bangkok,Watthana,Khlong Tan Nuea,Sukhumvit Road,Condo,572.0,1.0,1.0,52,12,87.0,13.7401356399,100.5851628565,0,Unknown,20.0,17.0,20,2010,June,"['Covered car park', 'CCTV', 'Fitness corner', '24 hours security', 'Swimming pool']",7200000
10827236,Bangkok,Pathum Wan,Lumphini,55 Langsuan Road,Condo,247.0,1.0,1.0,61,11,102.0,13.7395782382,100.543447292,3,"[['E1 Chit Lom BTS', 490], ['S1 Rachadamri BTS', 570], ['E2 Ploen Chit BTS', 700]]",20.0,12.0,19,2004,March,"['Car Park', 'Covered car park', 'CCTV', 'Fitness corner', '24 hours security']",3500000
